""
,precision,recall,f1-score,support
again,0.8415366146458584,0.9359145527369827,0.8862199747155499,749.0
now,0.9773071104387292,0.8636363636363636,0.9169623846699788,748.0
please,0.9662921348314607,0.9197860962566845,0.9424657534246575,748.0
soon,0.9427480916030534,0.9919678714859438,0.9667318982387475,747.0
accuracy,0.9278074866310161,0.9278074866310161,0.9278074866310161,0.9278074866310161
macro avg,0.9319709878797755,0.9278262210289936,0.9280950027622334,2992.0
weighted avg,0.9319371605144823,0.9278074866310161,0.9280680936968849,2992.0
,precision,recall,f1-score,support
a,0.38,0.4789915966386555,0.4237918215613383,119.0
b,0.6625,0.44537815126050423,0.5326633165829145,119.0
c,0.2920353982300885,0.2773109243697479,0.28448275862068967,119.0
d,0.42081447963800905,0.775,0.5454545454545455,120.0
e,0.1016949152542373,0.05042016806722689,0.06741573033707866,119.0
f,0.3333333333333333,0.075,0.12244897959183673,120.0
g,0.6206896551724138,0.6050420168067226,0.6127659574468085,119.0
h,0.6029411764705882,0.3474576271186441,0.44086021505376344,118.0
i,0.7105263157894737,0.675,0.6923076923076923,120.0
j,0.5652173913043478,0.65,0.6046511627906976,120.0
k,0.2403846153846154,0.625,0.3472222222222222,120.0
l,0.6153846153846154,0.2,0.30188679245283023,120.0
m,0.34065934065934067,0.775,0.4732824427480916,120.0
n,0.029411764705882353,0.025210084033613446,0.027149321266968326,119.0
o,0.673469387755102,0.825,0.7415730337078652,120.0
p,0.611764705882353,0.43333333333333335,0.5073170731707317,120.0
q,0.6842105263157895,0.65,0.6666666666666667,120.0
r,0.9032258064516129,0.7,0.7887323943661972,120.0
s,0.24193548387096775,0.125,0.16483516483516483,120.0
t,0.4,0.13333333333333333,0.2,120.0
u,0.5714285714285714,0.3,0.3934426229508196,120.0
v,0.3684210526315789,0.175,0.23728813559322032,120.0
x,0.3384615384615385,0.55,0.41904761904761906,120.0
y,0.8163265306122449,1.0,0.898876404494382,120.0
z,0.3050847457627119,0.45,0.36363636363636365,120.0
accuracy,0.4542112299465241,0.4542112299465241,0.4542112299465241,0.4542112299465241
macro avg,0.4731968540199767,0.45385908939847125,0.43431193747626035,2992.0
weighted avg,0.47336174731738845,0.4542112299465241,0.4345273472903936,2992.0
,precision,recall,f1-score,support
bin,0.9861325115562404,0.8421052631578947,0.9084457061745919,760.0
lay,0.8993788819875776,0.9451697127937336,0.921705919796308,766.0
place,0.8990578734858681,0.8954423592493298,0.8972464741437205,746.0
set,0.8490566037735849,0.9375,0.8910891089108911,720.0
accuracy,0.9047459893048129,0.9047459893048129,0.9047459893048129,0.9047459893048129
macro avg,0.9084064677008178,0.9050543338002396,0.9046218022563779,2992.0
weighted avg,0.9092255550543671,0.9047459893048129,0.9048714904357349,2992.0
,precision,recall,f1-score,support
blue,0.9590723055934516,0.9398395721925134,0.9493585415259961,748.0
green,0.8810198300283286,0.8315508021390374,0.8555708390646493,748.0
red,0.8396111786148238,0.9237967914438503,0.8796944621260343,748.0
white,0.9547945205479452,0.9318181818181818,0.9431664411366711,748.0
accuracy,0.9067513368983957,0.9067513368983957,0.9067513368983957,0.9067513368983957
macro avg,0.9086244586961374,0.9067513368983957,0.9069475709633377,2992.0
weighted avg,0.9086244586961374,0.9067513368983957,0.9069475709633377,2992.0
,precision,recall,f1-score,support
eight,0.7454545454545455,0.8282828282828283,0.784688995215311,297.0
five,0.8941176470588236,0.7651006711409396,0.8245931283905968,298.0
four,0.7578616352201258,0.8087248322147651,0.7824675324675325,298.0
nine,0.717391304347826,0.77,0.7427652733118971,300.0
one,0.7653061224489796,0.75,0.7575757575757575,300.0
seven,0.8700787401574803,0.7416107382550335,0.8007246376811594,298.0
six,0.6585365853658537,0.9,0.7605633802816902,300.0
three,0.8494623655913979,0.79,0.8186528497409327,300.0
two,0.8805309734513275,0.67003367003367,0.7609942638623327,297.0
accuracy,0.7805059523809523,0.7805059523809523,0.7805059523809523,0.7805059523809523
macro avg,0.79319332434404,0.7804169711030262,0.7814473131696901,2688.0
weighted avg,0.7930431187229603,0.7805059523809523,0.7814193174047067,2688.0
,precision,recall,f1-score,support
at,0.3953147877013177,0.3609625668449198,0.3773584905660377,748.0
by,0.8735955056179775,0.8271276595744681,0.8497267759562842,752.0
in,0.5127388535031847,0.6491935483870968,0.5729537366548042,744.0
with,0.8534351145038168,0.7473262032085561,0.796863863150392,748.0
accuracy,0.6463903743315508,0.6463903743315508,0.6463903743315508,0.6463903743315508
macro avg,0.6587710653315741,0.6461524945037602,0.6492257165818796,2992.0
weighted avg,0.6592534940108721,0.6463903743315508,0.6495957340141008,2992.0
